id_microbo,nome_microbo,id_gruppo_microbo,nome_gruppo_microbo
stasch,Staphylococcus schleiferi,,
stasco,Staphylococcus cohnii ssp cohnii,,
stasim,Staphylococcus simulans,,
stawar,Staphylococcus warneri,,
straga,Streptococcus agalactiae,,
strang,Streptococcus anginosus,,
stravi,Enterococcus avium,entspp,Enterococcus species
strcon,Streptococcus constellatus,
strdys,Streptococcus dysgalactiae ssp dysgalactiae,
streqs,Streptococcus dysgalactiae ssp equisimilis,,
strfac,Enterococcus faecium,entspp,Enterococcus species
strfae,Enterococcus faecalis,entspp,Enterococcus species
strgal,Streptococcus gallolyticus,
strgor,Streptococcus gordonii,,
strinf,Streptococcus infantarius,,
strint,Streptococcus intermedius,
strmo,Streptococcus mitis/ Streptococcus oralis,
strpar,Streptococcus parasanguinis,
strpas,Streptococcus pasteuri,,
strpna,Streptococcus pneumoniae antigene,,
strpne,Streptococcus pneumoniae,,
strpyo,Streptococcus pyogenes,,
strsa1,Streptococcus sanguinis,
strslv,Streptococcus salivarius,,
strspp,Streptococcus species,,
strter,Streptococcus thermophilus,,
strvid,Streptococcus viridans group,,
triink,Trichosporon inkin,,
trivag,Trichomonas vaginalis,,
ureure,Ureaplasma urealyticum,,
veispp,Veillonella species,,
vibcho,Vibrio cholerae,,
bacant,Bacillus anthracis,,
bclnth,Bacillus anthracis,bacant,Bacillus anthracis
cordip,Corynebacterium diphtheriae,,
crydp1,Corynebacterium diphtheriae biotype,cordip,Corynebacterium diphtheriae
crydp2,Corynebacterium diphtheriae biotype,cordip,Corynebacterium diphtheriae
crydp3,Corynebacterium diphtheriae biotype,cordip,Corynebacterium diphtheriae
crydp4,Corynebacterium diphtheriae biotype,cordip,Corynebacterium diphtheriae
shgbyd,Shigella boydii,shispe,Shigella species
shgboy,Shigella boydii,shispe,Shigella species
shidys,Shigella dysenteriae,shispe,Shigella species
shifle,Shigella flexneri,shispe,Shigella species
shigrp,Shigella group,shispe,Shigella species
shison,Shigella sonnei,shispe,Shigella species
shispe,Shigella species,,
yerpst,Yersinia pestis,,
